"ID","NOM","NOM_M","INSEE_COM","STATUT","POPULATION","INSEE_CAN","INSEE_ARR","INSEE_DEP","INSEE_REG","SIREN_EPCI"
"COMMUNE_0000000009750474","La Chapelle-du-Châtelard","LA CHAPELLE-DU-CHATELARD","01085","Commune simple",397,"08","2","01","84","200069193"
"COMMUNE_0000000009749518","Lélex","LELEX","01210","Commune simple",231,"20","3","01","84","240100750"
"COMMUNE_0000000009751463","Saint-Jean-de-Niost","SAINT-JEAN-DE-NIOST","01361","Commune simple",1600,"11","1","01","84","240100883"
"COMMUNE_0000000009751209","Sainte-Croix","SAINTE-CROIX","01342","Commune simple",546,"12","2","01","84","240100610"
"COMMUNE_0000000009749976","Vandeins","VANDEINS","01429","Commune simple",714,"02","2","01","84","200071751"
"COMMUNE_0000000009749945","Péron","PERON","01288","Commune simple",2777,"20","3","01","84","240100750"
"COMMUNE_0000000009749957","Izernore","IZERNORE","01192","Commune simple",2272,"16","4","01","84","200042935"
"COMMUNE_0000000009751190","Torcieu","TORCIEU","01421","Commune simple",734,"01","1","01","84","240100883"
"COMMUNE_0000000009751192","Conand","CONAND","01111","Commune simple",133,"01","1","01","84","240100883"
"COMMUNE_0000000009750233","Romans","ROMANS","01328","Commune simple",606,"08","2","01","84","200069193"
"COMMUNE_0000000009751462","Blyes","BLYES","01047","Commune simple",1269,"11","1","01","84","240100883"
"COMMUNE_0000000009749731","Sergy","SERGY","01401","Commune simple",2209,"20","3","01","84","240100750"
"COMMUNE_0000000009750458","Saint-Alban","SAINT-ALBAN","01331","Commune simple",192,"16","4","01","84","200029999"
"COMMUNE_0000000009749972","Montracol","MONTRACOL","01264","Commune simple",1017,"02","2","01","84","200071751"
"COMMUNE_0000000009749516","Chevry","CHEVRY","01103","Commune simple",2226,"20","3","01","84","240100750"
"COMMUNE_0000000009749739","Géovreisset","GEOVREISSET","01171","Commune simple",830,"14","4","01","84","200042935"
"COMMUNE_0000000009750485","Genouilleux","GENOUILLEUX","01169","Commune simple",651,"08","2","01","84","200070118"
"COMMUNE_0000000009750463","Cerdon","CERDON","01068","Commune simple",771,"16","4","01","84","200029999"
"COMMUNE_0000000009750200","Collonges","COLLONGES","01109","Commune simple",2230,"20","3","01","84","240100750"
"COMMUNE_0000000009749960","Grand-Corent","GRAND-CORENT","01177","Commune simple",184,"18","2","01","84","200071751"
"COMMUNE_0000000009749982","Illiat","ILLIAT","01188","Commune simple",681,"08","2","01","84","200070118"
"COMMUNE_0000000009750217","Leyssard","LEYSSARD","01214","Commune simple",161,"16","4","01","84","200042935"
"COMMUNE_0000000009750470","Saint-Paul-de-Varax","SAINT-PAUL-DE-VARAX","01383","Commune simple",1583,"08","2","01","84","200069193"
